Jahr;UnselbstBesch;ArbeitslosVorgemerkte;Arbeitslosenquote;OffeneStellen;
1946;1760000;74000;4,0348964013086155;140067;
1947;1900000;52700;2,6988272648128233;102810;
1948;1926700;54500;2,750858065818696;45334;
1949;1944700;99900;4,886041279467867;35724;
1950;1946886;128745;6,202692097005682;25187;
1951;1984313;117497;5,590276951770141;26860;
1952;1939075;156792;7,481009052578242;16303;
1953;1918891;183478;8,727202503461571;12475;
1954;1975241;163073;7,626241983169918;17190;
1955;2074223;117890;5,377916193188946;24590;
1956;2137093;115123;5,11154347540378;21811;
1957;2185387;107283;4,679391277418905;21089;
1958;2202809;116675;5,030213616476768;21435;
1959;2236064;104856;4,479264562650582;24882;
1960;2281915;79310;3,3588497496003136;30189;
1961;2322206;60505;2,5393343968278153;37777;
1962;2340448;61658;2,5668309391841992;37608;
1963;2342103;67642;2,8070189999356776;37362;
1964;2363780;62828;2,589128528382005;39612;
1965;2381467;61464;2,515994107078751;41888;
1966;2386628;56188;2,3001323063218844;45937;
1967;2359550;57967;2,3977907911299075;32402;
1968;2339319;61505;2,5618287721215713;27638;
1969;2357655;55235;2,289163617073302;33889;
1970;2389195;45106;1,8529343741796926;45280;
1971;2454858;36980;1,4840451104766843;55914;
1972;2512718;33235;1,3054050879965184;61998;
1973;2608306;31327;1,1867937701945688;66060;
1974;2656922;35931;1,3343097450919157;57599;
1975;2656440;55464;2,045205140004956;31209;
1976;2685862;55257;2,015855568474043;29366;
1977;2737147;51165;1,8349811642312623;32136;
1978;2757705;58570;2,0796974727254973;29405;
1979;2773719;56719;2,0038948035604385;31360;
1980;2788737;53161;1,8706160460368388;36470;
1981;2798557;69295;2,4162683429967795;25320;
1982;2766350;105346;3,668424512901087;17276;
1983;2734729;127376;4,450430714456667;15181;
1984;2744506;130469;4,53809163557944;17166;
1985;2759657;139447;4,810003366557392;22273;
1986;2780204;151972;5,182908529365222;24693;
1987;2785358;164468;5,5755153015804995;26836;
1988;2810478;158631;5,342713925288697;31184;
1989;2862291;149177;4,9536305881384095;45599;
1990;2928662;165795;5,357805909081949;55622;
1991;2997352;185029;5,8141686994737585;49448;
1992;3055810;193098;5,943473930317509;44126;
1993;3054910;222265;6,782213339232723;32906;
1994;3070732;214941;6,54176480739258;30197;
1995;3068186;215716;6,568892737968429;24986;
1996;3047253;230507;7,032455091281851;19431;
1997;3055569;233348;7,094979897638037;19019;
1998;3076667;237794;7,1744395242544705;23088;
1999;3107898;221743;6,659666913039573;31216;
2000;3133738;194314;5,838670789999675;35495;
2001;3148155;203883;6,082359448192413;29670;
2002;3155161;232418;6,8608879674835626;23189;
2003;3184759;240079;7,009937404338541;21716;
2004;3198591;243880;7,084446370279099;23774;
2005;3230286;252654;7,254043129506115;26209;
2006;3280878;239174;6,794615534088701;32912;
2007;3344039;222248;6,231915715140144;38214;
2008;3388617;212253;5,894492164393605;37498;
2009;3339051;260309;7,232091260668564;27165;
2010;3360238;250782;6,9449075330516035;31009;
2011;3421748;246702;6,724965584920062;32310;
2012;3465454;260643;6,995067492875252;29422;
2013;3482996;287206;7,617788118514605;26383;
2014;3503400;319357;8,354101503182127;26320;
2015;3534854;354332;9,110698228369639;29251;
2016;3586872;357313;9,05923530463201;40277;
2017;3655297;339976;8,509456049686717;56854;
2018;3741484;312107;7,6995187723675125;71545;
2019;3797304;301328;7,351916444316055;77093;
2020;3717164;409639;9,9263039275662;62833;
2021;3804941;331741;8,01949485118750;95087;
